DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
4.30406509320417,45,1,49,1,6,461,0,906,180,1,93,2013,1,1,1,0
7.090076835776092,20,1,23,3,3,101,1,74,412,0,936,2011,4,11,3,0
6.089044875446846,30,1,33,3,3,475,0,936,157,1,42,2018,1,3,1,2
6.194405391104672,66,1,69,2,2,177,1,38,395,0,941,2014,2,6,1,0
7.586803535162581,71,1,74,3,3,179,1,74,397,0,906,2014,4,12,4,0
7.842671474979457,71,1,74,3,3,136,1,33,338,0,916,2013,2,4,6,0
6.246106765481563,85,1,88,2,2,436,0,941,243,1,23,2014,2,4,2,0
7.01571242048723,38,1,41,3,3,225,1,54,363,0,941,2016,4,10,3,1
7.586803535162581,28,1,31,3,3,459,0,906,152,1,74,2011,3,9,4,0
4.912654885736052,38,1,41,3,3,460,0,926,129,1,66,2011,1,2,1,1
7.016609683894219,71,1,74,3,3,99,1,82,397,0,906,2010,4,12,3,0
6.049733455231958,9,1,11,1,1,429,0,936,146,1,22,2018,3,8,1,2
5.978885764901122,84,1,87,2,2,291,1,23,395,0,941,2011,4,10,1,0
5.981414211254481,58,1,62,3,3,249,1,63,398,0,926,2017,4,11,1,0
6.104793232414985,58,1,62,3,3,442,0,936,232,1,41,2014,1,3,1,0
5.356586274672012,45,1,49,1,6,196,1,93,57,0,906,2014,2,6,1,0
6.68586094706836,71,1,74,3,3,338,1,91,397,0,906,2014,2,4,2,0
6.07993319509559,53,1,57,3,3,475,0,936,232,1,41,2016,4,11,1,0
6.80128303447162,58,1,62,3,3,470,0,916,90,1,82,2012,4,11,2,0
6.895682697747868,34,1,37,3,3,475,0,936,241,1,33,2010,1,2,2,0
4.2626798770413155,45,1,49,1,6,461,0,906,166,1,93,2016,2,6,1,2
7.595889917718538,71,1,74,3,3,396,0,916,55,1,35,2015,1,3,4,0
5.805134968916488,34,1,37,3,3,457,0,941,111,1,21,2018,4,11,1,0
7.823245690685523,3,1,3,1,1,35,1,13,397,0,906,2015,2,6,5,2
4.852030263919617,64,1,67,2,2,459,0,906,284,1,93,2014,2,6,1,0
6.75343791859778,58,1,62,3,3,464,0,921,90,1,82,2014,4,12,2,0
6.9584483932976555,30,1,33,3,3,470,0,916,212,1,63,2012,2,6,3,0
5.886104031450156,85,1,88,2,2,97,1,38,412,0,936,2014,4,12,1,0
7.572502985020384,71,1,74,3,3,200,1,85,412,0,936,2011,4,10,4,0
7.234177179749849,58,1,62,3,3,470,0,916,232,1,41,2017,2,4,3,0
4.897839799950911,54,1,58,1,1,411,1,43,403,0,936,2011,3,9,1,3
7.573017256052546,38,1,41,3,3,459,0,906,193,1,54,2011,3,9,4,1
5.981414211254481,13,1,16,3,3,460,0,926,212,1,63,2011,4,12,1,1
5.978885764901122,84,3,87,2,2,291,1,23,395,0,941,2017,1,1,1,0
7.470224135899966,20,1,23,3,3,101,1,74,397,0,906,2016,1,1,4,0
7.322510433997394,20,1,23,3,3,101,1,74,395,0,941,2013,1,2,4,0
6.664409020350408,58,1,62,3,3,460,0,926,90,1,82,2018,3,8,2,0
7.80710329012598,20,1,23,3,3,348,1,91,395,0,941,2011,3,7,5,0
7.085901464365611,14,2,17,3,3,475,0,936,87,1,74,2016,4,10,3,2
7.155396301896734,34,1,37,3,3,179,1,74,412,0,936,2015,2,4,3,0
6.327936783729195,38,1,41,3,3,396,0,916,284,1,93,2015,1,2,2,1
