Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
41398,797.0,CP (2),D,CP,2,2,YVR,CA,906,SLC,US,87,2015,1,1,2,F
5109,353.0,OO,D,OO,3,3,ORD,US,41,YXU,CA,936,2010,2,6,1,F
18861,70.0,KAH,D,KAH,1,6,YWH,CA,906,KEH,US,93,2012,3,8,1,F
3324,337.0,GL,I,GL,2,2,YHU,CA,941,JFK,US,22,2010,4,10,1,L
38267,294.0,KAH,D,KAH,1,6,CN9,CA,906,KEH,US,93,2015,3,7,1,L
32868,739.0,DL,D,DL,3,3,YYZ,CA,936,ATL,US,34,2014,2,6,2,F
11200,1498.0,GL,I,GL,2,2,YHZ,CA,951,MCO,US,33,2011,4,10,3,L
57056,164.0,X4,D,X4,1,5,JNU,US,1,YXY,CA,911,2018,4,10,1,F
54494,1854.0,UA,D,UA,3,3,YEG,CA,916,IAH,US,74,2017,3,8,4,F
48908,2175.0,AA,D,AA,3,3,YYZ,CA,936,LAX,US,91,2016,4,10,5,F
42177,748.0,EV,D,EV,3,3,YUL,CA,941,ORD,US,41,2015,3,8,2,F
43067,348.0,YX,L,YX,2,2,YYZ,CA,936,EWR,US,21,2015,1,3,1,F
16956,1733.0,US,D,US,3,3,YVR,CA,906,MKE,US,45,2012,3,7,4,F
43535,1199.0,AA,D,AA,3,3,DFW,US,74,YYZ,CA,936,2015,1,1,3,F
26027,1914.0,DL,D,DL,3,3,ATL,US,34,YYC,CA,916,2013,3,8,4,F
13319,450.0,AX,D,AX,1,5,IAD,US,38,YOW,CA,936,2011,1,1,1,F
59141,559.0,CP (2),D,CP,2,2,YEG,CA,916,SEA,US,93,2018,1,2,2,F
16510,440.0,FX,D,FX,3,3,IND,US,42,YYZ,CA,936,2012,3,8,1,G
5567,394.0,ZW,D,ZW,2,2,YUL,CA,941,PHL,US,23,2010,4,12,1,F
23761,599.0,YX,L,YX,2,2,CMH,US,44,YUL,CA,941,2013,1,2,2,F
9399,2344.0,AA,D,AA,3,3,YVR,CA,906,IAD,US,38,2011,2,6,5,F
40954,797.0,CP (2),D,CP,2,2,YVR,CA,906,SLC,US,87,2015,4,11,2,F
19753,800.0,OO,D,OO,3,3,YVR,CA,906,SFO,US,91,2012,1,1,2,F
30465,746.0,FX,D,FX,3,3,IND,US,42,YMX,CA,941,2014,2,4,2,G
2465,621.0,EV,D,EV,3,3,GSP,US,37,YYZ,CA,936,2010,1,1,2,F
23523,122.0,5X,D,5X,3,3,BFI,US,93,YVR,CA,906,2013,1,3,1,G
11057,1282.0,OO,D,OO,3,3,YEG,CA,916,CID,US,61,2011,3,7,3,F
48119,748.0,EV,D,EV,3,3,ORD,US,41,YUL,CA,941,2016,4,12,2,F
35201,796.0,CP (2),D,CP,2,2,YXE,CA,921,MSP,US,63,2014,3,7,2,F
45272,739.0,YX,L,YX,2,2,YYZ,CA,936,ATL,US,34,2016,4,11,2,F
26052,692.0,ZW,D,ZW,2,2,PHL,US,23,YHZ,CA,951,2013,3,9,2,F
21049,950.0,CP (2),D,CP,2,2,YUL,CA,941,MSP,US,63,2012,2,6,2,F
1471,1366.0,OO,D,OO,3,3,YQB,CA,941,LIT,US,71,2010,3,9,3,F
1754,434.0,9E,D,9E,2,2,MBS,US,43,YOW,CA,936,2010,3,9,1,F
